address,url,description,rooms,winterized,price,surface,year,original_price,latitude,longitude,distance,duration,first_posting_date,last_posting_date
"Jukasentie 215B, Uiminniemi, Lemi",https://www.etuovi.com/kohde/578878,"tupa, kk, alkovi",1,NO,129000.0,49.0,1979,129000.0,61.051238,27.686376,214 km,2 hours 27 mins,2024-07-08,2024-08-05
"Syväniementie 57 B, Rautalampi",https://www.etuovi.com/kohde/579185,"Tupa, rt, oh, mh, parvi, ph, sauna + rantasauna / mh + 3 mh vierastalossa",4,NO,297000.0,86.0,1980,297000.0,62.4976106,26.6354552,309 km,3 hours 31 mins,2024-07-08,2024-08-05
"Vääräsaari 27   , Hanhitaipale, Rautalampi",https://www.etuovi.com/kohde/w29688,2 mh + tupakeittiö,3,NO,210000.0,60.0,2013,210000.0,62.125037,28.650769,382 km,4 hours 27 mins,2024-07-08,2024-08-05
"Joonaantie 51, Nastola, Lahti",https://www.etuovi.com/kohde/80360984,"3mh, k, oh, rt, 2xwc, khh, pkh, s, kinohuone, viinikylmiö, lasit.parv., parv., ter., rantasauna, vierasmaja",5,NO,999000.0,122.3,2013,999000.0,60.963978,25.9570517,115 km,1 hour 17 mins,2024-07-08,2024-08-05
"Kirkkonen Sinisalo, Jormaskylä, Sotkamo",https://www.etuovi.com/kohde/20877741,Oleskelukammari + keititö,,NO,35000.0,19.0,,35000.0,64.135868,28.401824,589 km,6 hours 27 mins,2024-07-08,2024-08-05
"Pellikanlahdentie 10, Kynsiniemi, Pellikanlahti, Nurmes",https://www.etuovi.com/kohde/36345127,"2h, k",2,YES,115000.0,60.0,1970,115000.0,63.509893,29.125019,514 km,5 hours 37 mins,2024-07-08,2024-08-05
"Niemelän rantatie 11, Okerla, Hämeenlinna",https://www.etuovi.com/kohde/21814221,Tupa + keittotila + makuusoppi + sauna + pukuhuone,,NO,88000.0,43.0,,88000.0,61.126105,24.557924,119 km,1 hour 20 mins,2024-07-08,2024-08-05
"Veneenniementie 64, Kerimäki, Savonlinna",https://www.etuovi.com/kohde/w39927,Hotelli 96h,6,YES,990000.0,5676.0,1990,1090000.0,61.9216521,29.3058976,351 km,3 hours 56 mins,2024-07-08,2024-08-05
"Kataaniementie 151, Kangasniemi",https://www.etuovi.com/kohde/1372933,"1h, k, parvi ja wc (pakastava). Rantasauna, kesäkeittiö, aitta, varasto",1,NO,130000.0,30.0,2017,130000.0,62.0627368,26.737176000000005,257 km,2 hours 57 mins,2024-07-08,2024-08-05
"Musapolku 121, Kuohenmaan, Kangasala",https://www.etuovi.com/kohde/20968663,1h + kk + veranta + parvi,1,NO,167000.0,24.0,,167000.0,61.3465617,24.0913566,152 km,1 hour 45 mins,2024-07-08,2024-08-05
