address,url,description,rooms,winterized,price,original_price,surface,year,latitude,longitude,distance,duration,first_posting_date,last_posting_date
"Kaatrasentie 471 E, Kaatranen, Kaavi",https://www.etuovi.com/kohde/576652,"2h, tupak, ph, rantasauna",3.0,NO,149000.0,149000.0,63.0,2010.0,63.0017311,28.5656369,446 km,4 hours 53 mins,2024-07-08,2024-07-08
"Selkäniementie 176 D, Asunta, Keuruu",https://www.etuovi.com/kohde/80359820,tupa + parvi + sauna + ph / wc + terassi,1.0,NO,118000.0,118000.0,20.0,2008.0,62.23189979999999,24.9041406,289 km,3 hours 16 mins,2024-07-08,2024-07-08
"Äijäläntie 129, Matinlahti, Lempäälä",https://www.etuovi.com/kohde/20987645,tyydyttävä,3.0,NO,149000.0,149000.0,51.0,,61.39907599999999,23.8332723,169 km,1 hour 48 mins,2024-07-08,2024-07-08
"Työsaarentie 80, Hauho, Hämeenlinna",https://www.etuovi.com/kohde/576231,"tupa, parvi, sauna ja psh",2.0,NO,189000.0,189000.0,20.0,1996.0,61.164558,24.5532693,125 km,1 hour 28 mins,2024-07-08,2024-07-08
"Känänpolku 36, Pohjalankila, Ruokolahti",https://www.etuovi.com/kohde/1370092,tupakeittiö + 2 alkovia,1.0,NO,86000.0,86000.0,56.0,1992.0,61.44687800000001,28.961469,293 km,3 hours 14 mins,2024-07-08,2024-07-08
"Hirvirinteentie 126, Jaala - Ukonniemi, Kouvola",https://www.etuovi.com/kohde/45708764,"2h, k, terassi",2.0,YES,58000.0,58000.0,,,61.13507549999999,26.6696255,181 km,2 hours 17 mins,2024-07-08,2024-07-08
"Aurejärventie 180, Aurejärvi, Parkano",https://www.etuovi.com/kohde/80359818,"3h, k, kph, terassi, rantasauna, autotalli",3.0,NO,219000.0,219000.0,72.0,2010.0,61.9860805,23.3231244,255 km,2 hours 44 mins,2024-07-08,2024-07-08
"Pähkinälehdontie 19, Mäntyharju",https://www.etuovi.com/kohde/49623254,"Oh, k, 2mh, kph / wc, wc, s, et, ter",3.0,NO,275000.0,275000.0,120.0,2013.0,61.4252814,26.712821345895165,183 km,1 hour 52 mins,2024-07-08,2024-07-08
"Sammalniementie 2, Vuonislahti, Lieksa",https://www.etuovi.com/kohde/21988426,"mh, tupakeittiö, ph, s",2.0,NO,64000.0,64000.0,43.0,2009.0,63.15076939999999,29.988875,505 km,5 hours 45 mins,2024-07-08,2024-07-08
"Eräntie 494, Sisättö, Ikaalinen",https://www.etuovi.com/kohde/20140063,1h + kk + ph + s,,NO,89000.0,89000.0,22.0,1974.0,61.86928889999999,23.392864,237 km,2 hours 42 mins,2024-07-08,2024-07-08
