name,location,network,type,address,website,latitude,longitude
Kaarinan pääterveysasema,Kaarina,,Health Center,"Voivalantie 5, 20780 Kaarina",,60.406568,22.376559
Littoisten terveysasema,Kaarina,,Health Center,"Luhakatu 1, 20660 Littoinen",,60.44575,22.39906
Piikkiön terveysasema,Kaarina,,Health Center,"Pontelanmäki 6, 21500 Piikkiö",,60.422063,22.526485
Kangasalan keskusterveysasema,Kangasala,,Health Center,"Herttualantie 28, 36200 Kangasala",,61.458816,24.085825
Ruutanan OmaAsema,Kangasala,,Health Center,"Leppätie 3, 36110 Ruutana",,61.528172,24.01131
Sahalahden OmaAsema,Kangasala,,Health Center,"Kurvishöllintie 8, 36420 Sahalahti",,61.476824,24.334051
Vatialan OmaAsema,Kangasala,,Health Center,"Junatie 1, 36240 Kangasala",,61.474779,23.946576
Pälkäneen OmaAsema,Pälkäne,,Health Center,"Keskustie 3, 36600 Pälkäne",,61.339279,24.270545
Luopioisten OmaAsema,Pälkäne,,Health Center,"Pereentie, 36760 Luopioinen",,61.364321,24.657667
Valkeakosken aluesairaalan yhteispäivystys,Valkeakoski,,Health Center,"Salonkatu 24, 37600 Valkeakoski",Valkeakosken sairaalan päivystys (Arkistoitu – Internet Archive),61.271042,24.032188
Nummelan terveysasema,Vihti,,Health Center,"Nummenselkä 2, 03100 Nummela",Lääkärin ja hoitajan vastaanotto (Arkistoitu – Internet Archive),60.345298,24.32282
Karkkilan terveysasema,Karkkila,,Health Center,"Huhdintie 23-25, 03600 Karkkila",Lääkärin ja hoitajan vastaanotto (Arkistoitu – Internet Archive),60.539351,24.226071
Siuntion terveyskeskus,Siuntio,,Health Center,"Charlotta Lönnqvistintie 5, 02580 Siuntio",Terveyskeskus ja päivystys (Arkistoitu – Internet Archive),60.135633,24.22403
Tammisaaren terveysasema,Raasepori,,Health Center,"Itäinen Rantakatu 9, 10600 Tammisaari",Terveyskeskuksen avovastaanotto Terveyskeskus,59.974878,23.455038
Pohjan terveysasema,Raasepori,,Health Center,"Orkdalintie 4, 10420 Pohjankuru",Terveyskeskuksen avovastaanotto Terveyskeskus,60.097872892359696,23.523324241036757
Karjaan terveysasema,Raasepori,,Health Center,"Bulevardi 21, 10300 Karjaa",Terveyskeskuksen avovastaanotto Terveyskeskus,60.073027,23.664413
Raaseporin sairaalan päivystys,Raasepori,,Health Center,"Raaseporin sairaala, Itäinen Rantakatu 9, 10600 (PL 1020, 10601) Tammisaari","Päivystys, Raaseporin sairaala",59.98122,23.440532
Inkoon terveyskeskus,Inkoo,,Health Center,"Rantatie 6, 10210 Inkoo ",Inkoon terveyskeskus (Arkistoitu – Internet Archive),60.044323,24.005576
Hangon terveyskeskus,Hanko,,Health Center,"Esplanadi 85, 10900 Hanko",Hangon terveyskeskus (Arkistoitu – Internet Archive),59.829038,22.963885
Lappohjan terveysasema (neuvola),Hanko,,Health Center,"Koulukuja 4, 10820 Lappohja",Lappohjan terveysasema (Arkistoitu – Internet Archive) ,59.90113,23.250064
Haminan terveysasema,Hamina,,Health Center,"Reutsinkatu 1, 49400 Hamina",Haminan terveysasema (Arkistoitu – Internet Archive),60.577149,27.177064
Haminan sairaalan päivystys,Hamina,,Health Center,"Reutsinkatu 1, 49400 Hamina",Haminan sairaalan päivystyspoliklinikka (Arkistoitu – Internet Archive),60.577149,27.177064
